UniqueID,Deep-Lying_Forward,Target_Forward,Poacher,Complete_Forward,Advanced_Forward,Pressing_Forward,Trequartista
2274,17.58437535,15.62349854,11.19260999,12.81127938,14.13410414,14.63628343,14.01784916
24623,16.96110576,11.2629754,8.444998285,18.9624418,18.42157019,10.3228504,15.62405816
1841,15.81456642,13.72743503,13.31411932,12.76671429,16.47989496,15.6084789,12.28879107
28728,15.2517423,19.19308114,11.30200867,14.41290339,14.87354583,11.57009004,13.39662863
27846,11.34536149,13.18053439,2.081212367,38.11775402,20.74689794,2.464484697,12.06375509
35305,17.69422924,11.6002188,14.12983808,16.83524069,17.5140199,11.43400454,10.79244875
34813,16.21301064,10.90165634,16.70048493,17.76836088,17.39995668,8.428180471,12.58835006
11,15.72666583,11.21142624,18.16728167,16.37861877,17.93713226,8.429999208,12.14887603
428,14.70137054,12.36332541,15.25009593,17.35365863,17.11137674,10.56318767,12.65698508
39253,18.68559652,11.23426667,17.53409194,16.5602825,16.59320599,11.68167533,7.71088105
11775,16.52415019,17.3606709,16.35464578,11.43876555,9.938127901,16.73769501,11.64594467
12673,17.70452091,17.3778195,15.75681246,11.5263583,9.785649212,15.67122556,12.17761405
12162,15.90421453,20.10609829,14.93025067,11.98828049,11.46552313,15.49411647,10.11151643
32140,18.92734369,14.2656765,10.57568278,16.99283264,11.30896517,13.17007861,14.75942062
32601,18.92734369,14.2656765,10.57568278,16.99283264,11.30896517,13.17007861,14.75942062
30937,11.53651252,12.76914191,16.11279126,14.63370867,15.67459096,12.7776609,16.49559377
30575,11.72229741,17.17738182,15.20547685,12.01347876,12.61145404,17.99310742,13.2768037
29880,10.14070616,16.89053671,16.01166738,13.34847399,15.44613606,15.73942062,12.42305908
30226,9.89662201,16.45073966,12.71949167,15.2840474,17.45886902,14.70068278,13.48954746
30551,14.69618707,17.3469707,12.55973447,8.553032511,13.08506891,18.42188123,15.33712511
30917,13.20906367,13.9486322,15.55646345,10.35943793,12.83509418,17.16143107,16.92987749
29860,12.65328003,14.70001574,2.321139162,35.93976158,18.18271587,2.74859598,13.45449164
27453,14.70247245,11.82127538,11.63025427,20.09425181,18.33860244,11.44971695,11.96342669
27148,17.82844335,13.56282701,12.6573541,10.83688085,13.23460276,15.84732576,16.03256616
26238,16.13126776,14.56203195,14.15994822,11.21405608,13.53505606,14.89778616,15.49985377
26693,16.13126776,14.56203195,14.15994822,11.21405608,13.53505606,14.89778616,15.49985377
7345,20.79014409,15.32312927,10.85233169,11.30990348,14.72852075,14.80002213,12.19594858
32080,13.93408138,14.76034602,16.29921661,14.2674879,18.29466827,13.0632109,9.380988931
32550,13.93408138,14.76034602,16.29921661,14.2674879,18.29466827,13.0632109,9.380988931
12742,14.03743595,15.56607567,17.06262774,14.33682604,13.05346363,13.28838281,12.65518816
17836,15.62686158,17.17362522,10.7953321,10.92132217,15.03981105,16.16249796,14.28054993
