UniqueID,Shadow_Striker,Advanced _Playmaker,Enganche,Trequartista
19699,18.21129401,21.34034995,26.07201414,34.3763419
15615,24.91676869,28.19802182,24.49928529,22.3859242
36826,21.07454843,22.2903135,26.17892042,30.45621766
13940,24.24875951,24.3301476,19.70222227,31.71887061
34425,23.91502928,22.564109,25.89171126,27.62915046
13900,27.91535868,23.9675563,25.95796775,22.15911728
40898,32.57821585,19.89906415,24.50870797,23.01401203
2290,13.54348204,28.86985823,30.06316362,27.52349611
4709,19.76920156,30.16444681,19.63169316,30.43465847
24648,13.69986076,22.15356567,24.16746938,39.97910419
26804,22.61781961,23.61679143,33.61579276,20.1495962
2901,22.76381228,21.9601815,27.72985086,27.54615536
964,14.63165888,27.23575512,29.47217097,28.66041503
5526,32.120066,20.75622647,20.97008622,26.1536213
20901,28.95249017,23.96205661,24.57341134,22.51204188
34307,12.86840128,23.52395327,29.36889507,34.23875038
10496,14.56252572,25.97684253,30.31740242,29.14322933
19646,14.02568072,24.72453859,27.38801513,33.86176556
38832,19.9252977,29.04592774,30.34232952,20.68644504
15201,21.73596287,20.27993104,25.94732171,32.03678438
23717,18.66835832,25.69886265,26.95883699,28.67394203
13662,18.38797337,19.48409274,25.51489543,36.61303845
40211,4.40614507,40.18011245,21.92062312,33.49311936
259,23.54505228,22.10157534,23.20106378,31.1523086
19758,19.57495769,26.69492877,34.81607618,18.91403737
30200,32.06377815,20.04303677,17.92558206,29.96760302
30268,19.40752606,26.20789833,29.48229656,24.90227904
32149,25.51580375,27.40076073,26.54247431,20.5409612
32633,25.51580375,27.40076073,26.54247431,20.5409612
8593,11.81887226,28.3147913,33.89035015,25.97598629
39646,21.15855563,24.80068354,26.61853317,27.42222766
30289,27.32529005,24.54121199,11.3798513,36.75364666
19638,23.39658162,31.13845824,24.02272756,21.44223258
2462,33.54345099,27.91157884,16.47979483,22.06517534
6651,24.40830089,33.24120042,18.63279122,23.71770747
16002,19.44571475,28.84627169,22.41213883,29.29587473
673,25.64454751,20.74690543,23.49593306,30.112614
14708,26.73369806,19.83899536,28.46515023,24.96215635
808,16.91798838,23.30406884,28.81660657,30.96133621
16586,23.1769579,20.28669262,20.87315292,35.66319657
38762,17.28705446,25.89931252,29.39973409,27.41389893
13935,16.93612655,34.60438259,17.33796917,31.12152169
35124,14.37917392,22.89756847,27.0227294,35.70052821
320,13.93064124,21.51411007,28.22668846,36.32856024
40816,15.77877338,34.57289494,30.77693849,18.87139319
25394,16.82802174,34.94815416,30.40710398,17.81672012
33050,12.4583055,32.40674022,36.45997624,18.67497804
35061,22.34010899,21.97346913,24.38029844,31.30612344
1967,31.58991833,20.29197861,28.04709431,20.07100875
22214,36.92882236,18.74949083,17.07459304,27.24709376
24276,26.45994887,21.88001469,27.09345978,24.56657667
720,12.94490991,25.46356418,26.97719804,34.61432788
17262,17.13455736,22.50822519,23.00770867,37.34950877
23983,23.75129745,24.46025555,31.45348788,20.33495912
25074,13.52553309,21.22420772,24.60258049,40.6476787
1956,18.27284449,24.37627765,23.99120681,33.35967105
16048,31.06920389,19.81929892,20.62452208,28.48697511
14797,15.51171132,27.43180498,38.92230776,18.13417594
38835,21.53429532,22.52374152,21.92689368,34.01506947
25086,21.77829421,32.98274194,27.30766902,17.93129483
31292,26.31988138,24.31644023,29.88664888,19.47702951
